(مفع. مِن اِرْتَهَنَ)	مُرْتَهَنٌ-مُرْتَهَنٌ، ةٌ 
(مفع. من اِنْعَطَفَ)	مُنْعَطَفٌ-مُنْعَطَفٌ ، ةٌ 
(مفع مِن اِسْتَحَبَّ)	مُسْتَحَبٌّ-مُسْتَحَبٌّ ، ةٌ 
(مفع مِنْ سَطَّحَ)	مُسَطَّحٌ-مُسَطَّحٌ، ةٌ 
(مفع مِنْ سَلَّ)	مَسْلُولٌ-مَسْلُولٌ، ةٌ 
(مفع مِنْ سَمَّ)	مَسْمُومٌ-مَسْمُومٌ، ةٌ 
(مفع مِنْ طَوَّقَ)	مُطَوَّقٌ-مُطَوَّقٌ، ةٌ 
(مفع مِنْ طَوَّلَ)	مُطَوَّلٌ-مُطَوَّلٌ، ةٌ 
(مفع من عَزَّزَ)	مُعَزَّزٌ-مُعَزَّزٌ، ةٌ 
(مفع من تَثَاءَبَ)	مَثْؤُوبٌ-مَثْؤُوبٌ، ةٌ 
(مفع. من رَبَّعَ)	مُرَبَّعٌ-مُرَبَّعٌ، ة 
(مفع. من عَبَّدَ)	مُعَبَّدٌ-مُعَبَّدٌ، ةٌ 
(مفع. مِن عَشِقَ)	مَعْشُوقٌ-مَعْشُوقٌ، ةٌ 
(مفع. مِنْ أَبْطَلَ)	مُبْطَلٌ-مُبْطَلٌ، ةٌ 
(مفع. مِنْ أَبْعَدَ)	مُبْعَدُ-مُبْعَدُ، ةٌ 
(مفع. مِنْ أَبْغَضَ)	مُبْغَضٌ-مُبْغَضٌ ، ةٌ 
(مفع. مِنْ أَبْهَمَ)	مُبْهَمٌ-مُبْهَمٌ، ةٌ  
(مفع. مِنْ أَتاحَ تَاحَ)	مُتَاحٌ-مُتَاحٌ، ةٌ  
(مفع. مِنْ أَتْرَبَ)	مُتْرَبٌ-مُتْرَبٌ، ةٌ 
(مفع. مِنْ أَتْرَعَ)	مُتْرَعٌ-مُتْرَعٌ، ةٌ 
(مفع. مِنْ أَتْرَفَ)	مُتْرَفٌ-مُتْرَفٌ، ةٌ 
(مفع. مِنْ أَتْعَبَ)	مُتْعَبٌ-مُتْعَبٌ، ةٌ 
(مفع. مِنْ أَتْقَنَ)	مُتْقَنٌ-مُتْقَنٌ، ةٌ 
(مفع. مِنْ أَثْبَتَ)	مُثْبَتٌ-مُثْبَتٌ ، ةٌ 
(مفع. مِنْ أَثْخَنَ)	مُثْخَنٌ-مُثْخَنٌ، ةٌ 
(مفع. مِنْ أَثْقَلَ)	مُثْقَلٌ-مُثْقَلٌ، ةٌ 
(مفع. مِنْ أَجْبَرَ)	مُجْبَرٌ-مُجْبَرٌ ، ةٌ 
(مفع. مِنْ أَجَّرَ)	مُؤَجَّرٌ-مُؤَجَّرٌ، ةٌ 
(مفع. مِنْ أَجَّلَ)	مُؤَجَّلٌ-مُؤَجَّلٌ، ةٌ 
(مفع. مِنْ أَجْمَلَ)	مُجْمَلٌ-مُجْمَلٌ، ةٌ 
(مفع. مِنْ أَجَنَّ عَلَى غَيْرِ قِيَاسٍ، أَيْ جَنَّ جُنَّ)	مَجْنُونٌ-مَجْنُونٌ، ةٌ 
(مفع. مِنْ أَجْهَضَ)	مُجْهَضٌ-مُجْهَضٌ، ةٌ 
(مفع. مِنْ أَحَاطَ)	مُحَاطٌ-مُحَاطٌ، ةٌ 
(مفع. مِنْ أَحْدَثَ)	مُحْدَثٌ-مُحْدَثٌ، ةٌ 
(مفع. مِنْ أَحْصَنَ)	مُحْصَنٌ-مُحْصَنٌ، ةٌ 
(مفع. مِنْ أَحْكَمَ)	مُحْكَمٌ-مُحْكَمٌ، ةٌ 
(مفع. مِنْ أَخَّرَ)	مُؤَخَّرٌ-مُؤَخَّرٌ، ةٌ 
(مفع. مِنْ أَدَانَ)	مُدَانٌ-مُدَانٌ ، ةٌ 
(مفع. مِنْ أَدَّبَ)	مُؤَدَّبٌ-مُؤَدَّبٌ، ةٌ 
(مفع. مِنْ أَدْرَجَ)	مُدْرَجٌ-مُدْرَجٌ ، ةٌ 
(مفع. مِنْ أَدْرَكَ)	مُدْرَكٌ-مُدْرَكٌ، ةٌ  
(مفع. مِنْ أَدْمَجَ)	مُدْمَجٌ-مُدْمَجٌ، ةٌ 
(مفع. مِنْ أَدَّى)	مُؤَدّىً-مُؤَدّىً
(مفع. مِنْ أَرَادَ)	مُرَادٌ-مُرَادٌ ، ةٌ 
(مفع. مِنْ أَرْسَلَ)	مُرْسَلٌ-مُرْسَلٌ، ةٌ 
(مفع. مِنْ أَرْغَمَ)	مُرْغَمٌ-مُرْغَمٌ، ةٌ 
(مفع. مِنْ أَرْفَقَ)	مُرْفَقٌ-مُرْفَقٌ، ةٌ 
(مفع. مِنْ أَرَّقَ)	مُؤَرَّقٌ-مُؤَرَّقٌ، ةٌ 
(مفع. مِنْ أَرْهَفَ)	مُرْهَفٌ-مُرْهَفٌ، ةٌ 
(مفع. مِنْ أَرْهَقَ)	مُرْهَقٌ-مُرْهَقٌ، ةٌ 
(مفع. مِنْ أَزَاحَ)	مُزَاحٌ-مُزَاحٌ ، ةٌ 
(مفع. مِنْ أَزْمَعَ)	مُزْمَعٌ-مُزْمَعٌ ، ةٌ 
(مفع. مِنْ أَسَبَعَ)	مُسْبَعٌ-مُسْبَعٌ ، ةٌ 
(مفع. مِن أَسْدَلَ)	مُسْدَلٌ-مُسْدَلٌ ، ةٌ 
(مفع. مِن أَسْعَدَ وَسَعَدَ)	مَسْعُودٌ-مَسْعُودٌ ، ةٌ 
(مفع. مِن أَسْعَفَ)	مُسْعَفٌ-مُسْعَفٌ ، ةٌ 
(مفع. مِن أسْهَبَ)	مُسْهَبٌ-مُسْهَبٌ، ةٌ 
(مفع. مِن أَشْبَعَ)	مُشْبَعٌ-مُشْبَعٌ ، ةٌ 
(مفع. من أصابَ)	مُصَابٌ-مُصَابٌ، ةٌ 
(مفع. مِن أَضْمَرَ)	مُضْمَرٌ-مُضْمَرٌ، ةٌ 
(مفع. من أَضْنَى)	مُضْنىً-مُضْنىً
(مفع. مِن أَطْفَأَ)	مُطْفَأٌ-مُطْفَأٌ
(مفع. من أَطْلَقَ)	مُطْلَقٌ-مُطْلَقٌ، ةٌ 
(مفع. مِن أَعَارَ)	مُعَارٌ-مُعَارٌ ، ةٌ 
(مفع. مِن أَعَاقَ)	مُعَاقٌ-مُعَاقٌ ، ةٌ 
(مفع. مِن أَعْتَقَ)	مُعْتَقٌ-مُعْتَقٌ، ةٌ 
(مفع. مِن أَعْجَبَ)	مُعْجَبٌ-مُعْجَبٌ، ةٌ 
(مفع. من أَعَدَّ)	مُعَدٌّ-مُعَدٌّ، ةٌ 
(مفع. مِن أَعْطَى)	مُعْطىً-مُعْطىً
(مفع. مِن أَعْفَى)	مُعْفىً-مُعْفىً
(مفع. مِن أَعْلَنَ)	مُعْلَنٌ-مُعْلَنٌ، ةٌ 
(مفع. مِن أَغْرَمَ)	مُغْرَمٌ-مُغْرَمٌ، ةٌ 
(مفع. مِن أَغْفَلَ)	مُغْفَلٌ-مُغْفَلٌ، ةٌ 
(مفع. مِن أَغْلَقَ)	مُغْلَقٌ-مُغْلَقٌ ، ةٌ 
(مفع. مِن أَغْمَدَ)	مُغْمَدٌ-مُغْمَدٌ ، ةٌ 
(مفع. مِن أُغْمِيَ)	مُغْمىً-مُغْمىً
(مفع. مِن أَفْحَمَ)	مُفْحَمٌ-مُفْحَمٌ، ةٌ 
(مفع. مِن أَفْرَدَ)	مُفْرَدٌ-مُفْرَدٌ، ةٌ 
(مفع. من أَفْرَغَ)	مُفْرَغٌ-مُفْرَغٌ، ةٌ 
(مفع. من أَفْعَمَ)	مُفْعَمٌ-مُفْعَمٌ، ةٌ 
(مفع. مِن أَقْعَدَ)	مُقْعَدٌ-مُقْعَدٌ، ةٌ 
(مفع. من أَقْفَلَ)	مُقْفَلٌ-مُقْفَلٌ، ةٌ 
(مفع. مِنْ أَكَّدَ)	مُؤَكَّدٌ-مُؤَكَّدٌ، ةٌ 
(مفع. من أَكْرَهَ)	مُكْرَهٌ-مُكْرَهٌ، ةٌ 
(مفع. مِنْ أَكَلَ)	مَأْكُولٌ-مَأْكُولٌ ، ةٌ 
(مفع. من أَلْجَمَ)	مُلْجَمٌ-مُلْجَمٌ، ةٌ 
(مفع. من أَلْحَقَ)	مُلْحَقٌ-مُلْحَقٌ، ةٌ 
(مفع. من أَلْزَمَ)	مُلْزَمٌ-مُلْزَمٌ، ةٌ 
(مفع. من أَلْصَقَ)	مُلْصَقٌ-مُلْصَقٌ، ةٌ 
(مفع. من أَلْغَزَ)	مُلْغَزٌ-مُلْغَزٌ، ةٌ 
(مفع. من أَلْغَى)	مُلْغىً-مُلْغىً
(مفع. مِنْ أَلِفَ)	مَأْلُوفٌ-مَأْلُوفٌ، ةٌ 
(مفع. مِنْ أَلَّفَ)	مُؤَلَّفٌ-مُؤَلَّفٌ، ةٌ 
(مفع. من أَلْقَى)	مُلْقىً-مُلْقىً
(مفع. من أَلْهَمَ)	مُلْهَمٌ-مُلْهَمٌ، ةٌ 
(مفع. مِنْ أمَرَ)	مَأْمُورٌ-مَأْمُورٌ ، ةٌ 
(مفع. مِنْ أَمَّلَ)	مُؤَمَّلٌ-مُؤَمَّلٌ ، ةٌ 
(مفع. مِنْ أَمَّمَ)	مُؤَمَّمٌ-مُؤَمَّمٌ، ةٌ 
(مفع. مِنْ أَمِنَ)	مَأْمُونٌ-مَأْمُونٌ، ةٌ 
(مفع. مِنْ أَمَّنَ)	مُؤَمَّنٌ-مُؤَمَّنٌ، ةٌ 
(مفع. مِنْ أَنَّثَ)	مُؤَنَّثٌ-مُؤَنَّثٌ، ةٌ 
(مفع. من أَنْجَزَ)	مُنْجَزٌ-مُنْجَزٌ ، ةٌ 
(مفع. من أَنْزَلَ)	مُنْزَلٌ-مُنْزَلٌ، ةٌ 
(مفع. من أَنْشَأَ)	مَنْشَأٌ-مَنْشَأٌ
(مفع. من أَنْقَعَ)	مُنْقَعٌ-مُنْقَعٌ، ةٌ 
(مفع. من أَنْكَرَ)	مُنْكَرٌ-مُنْكَرٌ، ةٌ 
(مفع. من أَنْهَكَ)	مُنْهَكٌ-مُنْهَكٌ، ةٌ 
(مفع. من أَهَانَ)	مُهَانٌ-مُهَانٌ ، ةٌ 
(مفع. من أَهْرَقَ)	مُهْرَقٌ-مُهْرَقٌ ، ةٌ 
(مفع. مِنْ أَهِلَ)	مَأْهُولٌ-مَأْهُولٌ ، ةٌ 
(مفع. مِنْ أَهَّلَ)	مُؤَهَّلٌ-مُؤَهَّلٌ، ةٌ 
(مفع. من أَهْمَلَ)	مُهْمَلٌ-مُهْمَلٌ، ةٌ 
(مفع. من أَوْثَقَ)	مُوثَقٌ-مُوثَقٌ ، ةٌ 
(مفع. من أَوْجَبَ)	مُوجَبٌ-مُوجَبٌ، ةٌ 
(مفع. من أَوْجَزَ)	مُوجَزٌ-مُوجَزٌ، ةٌ 
(مفع. من أَوْحَى)	مُوحىً-مُوحىً
(مفع. من أَوْدَعَ)	مُودَعٌ-مُودَعٌ، ةٌ 
(مفع. من أَوْصَى)	مُوصىً-مُوصىً
(مفع. من أَوْفَدَ)	مُوفَدٌ-مُوفَدٌ، ةٌ 
(مفع. من أَوْلَعَ)	مُولَعٌ-مُولَعٌ، ةٌ 
(مفع. من أَوْمَأَ)	مُومَأٌ-مُومَأٌ 
(مفع. من أَوْهَنَ)	مُوهَنٌ-مُوهَنٌ، ةٌ 
(مفع. مِنْ أَيَّدَ)	مُؤَيَّدٌ-مُؤَيَّدٌ، ةٌ 
(مفع. مِن اِئْتَمَنَ)	مُؤْتَمَنٌ-مُؤْتَمَنٌ، ةٌ 
(مفع. من ابتدع)	مُبتدَعٌ-مُبتدَعٌ، ة
(مفع. مِن اِبْتَذَلَ)	مُبْتَذَلٌ-مُبْتَذَلٌ، ةٌ 
(مفع. مِن اِبْتَسَرَ)	مُبْتَسَرٌ-مُبْتَسَرٌ، ةٌ 
(مفع. مِن اِبْتَغَى)	مُبْتَغىً-مُبْتَغىً
(مفع. مِن اِبْتَكَرَ)	مُبْتَكَرٌ-مُبْتَكَرٌ ، ةٌ 
(مفع. مِن اِبْتَلَّ)	مُبْتَلٌّ-مُبْتَلٌّ، ةٌ  
(مفع. مِن ابْتَلَى)	مُبْتَلىً-مُبْتَلىً
(مفع. مِن اِتَّبَعَ)	مُتَّبَعٌ-مُتَّبَعٌ، ةٌ 
(مفع. مِن اِتَّجَهَ)	مُتَّجَهٌ-مُتَّجَهٌ، ةٌ  
(مفع. مِن اِتَّسَع)	مُتَّسَعٌ-مُتَّسَعٌ، ةٌ 
(مفع. مِن اِتَّفَقَ)	مُتَّفَقٌ-مُتَّفَقٌ 
(مفع. مِن اِتَّكَأَ)	مُتَّكَأٌ-مُتَّكَأٌ 
(مفع. مِن اِتَّهَمَ)	مُتَّهَمٌ-مُتَّهَمٌ ، ةٌ 
(مفع. من اِجْتَثَّ)	مُجْتَثٌّ-مُجْتَثٌّ، ةٌ 
(مفع. مِن اِجْتَمَعَ)	مُجْتَمَعٌ-مُجْتَمَعٌ ، ةٌ 
(مفع. مِن اِحْتَرَمَ)	مُحْتَرَمٌ-مُحْتَرَمٌ، ةٌ 
(مفع. مِن اِحْتَسَبَ)	مُحْتَسَبٌ-مُحْتَسَبٌ، ةٌ 
(مفع. مِن اِحْتَضَرَ)	مُحْتَضَرٌ-مُحْتَضَرٌ، ةٌ 
(مفع. مِن اِحْتَفَلَ)	مُحْتَفَلٌ-مُحْتَفَلٌ، ةٌ 
(مفع. مِن اِحْتَقَرَ)	مُحْتَقَرٌ-مُحْتَقَرٌ، ةٌ 
(مفع. مِن اِحْتَكَرَ)	مُحْتَكَرٌ-مُحْتَكَرٌ، ةٌ 
(مفع. مِن اِحْتَلَّ)	مُحْتَلٌّ-مُحْتَلٌّ، ةٌ 
(مفع. مِن اِحْتَمَلَ)	مُحْتَمَلٌ-مُحْتَمَلٌ، ةٌ 
(مفع. مِن اِحْدَوْدَبَ)	مُحْدَوْدَبٌ-مُحْدَوْدَبٌ، ةٌ 
(مفع. مِن اِخْتَارَ)	مُخْتَارٌ-مُخْتَارٌ، ةٌ 
(مفع. مِن اِخْتَرَعَ)	مُخْتَرَعٌ-مُخْتَرَعٌ ، ةٌ 
(مفع. مِن اِخْتَزَلَ)	مُخْتَزَلٌ-مُخْتَزَلٌ، ةٌ 
(مفع. مِن اِخْتَصَرَ)	مُخْتَصَرٌ-مُخْتَصَرٌ، ةٌ 
(مفع. مِن اِخْتَلَّ)	مُخْتَلٌّ-مُخْتَلٌّ، ةٌ 
(مفع. مِن اِخْتَلَفَ)	مُخْتَلَفٌ-مُخْتَلَفٌ ، ةٌ 
(مفع. مِن اِخْتَلَقَ)	مُخْتَلَقٌ-مُخْتَلَقٌ، ةٌ 
(مفع. مِن اِدَّثَّرَ)	مُدَّثَّرٌ-مُدَّثَّرٌ، ةٌ 
(مفع. مِن اِدَّعَى)	مُدَّعًى-مُدَّعًى
(مفع. مِن اِرْتَجَعَ)	مُرْتَجَعٌ-مُرْتَجَعٌ ، ةٌ 
(مفع. مِن اِرْتَجَلَ)	مُرْتَجَلٌ-مُرْتَجَلٌ، ةٌ 
(مفع. مِن اِرْتَحَلَ)	مُرْتَحَلٌ-مُرْتَحَلٌ ، ةٌ 
(مفع. مِن اِرْتَفَعَ)	مُرْتَفَعٌ-مُرْتَفَعٌ ، ةٌ 
(مفع. مِن اِرْتَقَبَ)	مُرْتَقَبٌ-مُرْتَقَبٌ، ةٌ 
(مفع. مِن اِرْتَقَعَ)	مُرْتَقَعٌ-مُرْتَقَعٌ ، ةٌ 
(مفع. مِن اِرْتَقَى)	مُرْتَقىً-مُرْتَقىً 
(مفع. مِن اِرْتَكَبَ)	مُرْتَكَبٌ-مُرْتَكَبٌ، ةٌ  
(مفع. مِن اِرْتَكَزَ)	مُرْتَكَزٌ-مُرْتَكَزٌ ، ةٌ 
(مفع. مِن اِزْدَحَمَ)	مُزْدَحَمٌ-مُزْدَحَمٌ، ةٌ 
(مفع. مِن اِسْتَبَاحَ)	مُسْتَبَاحٌ-مُسْتَبَاحٌ، ةٌ 
(مفع. مِن اِسْتَبْعَدَ)	مُسْتَبْعَدٌ-مُسْتَبْعَدٌ، ةٌ 
(مفع. مِن اِسْتَثْنَى)	مُسْتَثْنىً-مُسْتَثْنىً
(مفع. مِن اِسْتَجَابَ)	مُسْتَجَابٌ-مُسْتَجَابٌ، ةٌ 
(مفع. مِن اِسْتَجَدَّ)	مُسْتَجَدٌّ-مُسْتَجَدٌّ، ةٌ 
(مفع. مِن اِسْتَجْوَبَ)	مُسْتَجْوَبٌ-مُسْتَجْوَبٌ، ةٌ 
(مفع. مِن اِسْتَحْدَثَ)	مُسْتَحْدَثٌ-مُسْتَحْدَثٌ ، ةٌ 
(مفع. مِن اِسْتَحْسَنَ)	مُسْتَحْسَنٌ-مُسْتَحْسَنٌ، ةٌ 
(مفع. مِن اِسْتَحْضَرَ)	مُسْتَحْضَرٌ-مُسْتَحْضَرٌ ، ةٌ 
(مفع. مِن اِسْتَحَقَّ)	مُسْتَحَقٌّ-مُسْتَحَقٌّ ، ةٌ 
(مفع. مِن اِسْتَحْكَمَ)	مُسْتَحْكَمٌ-مُسْتَحْكَمٌ، ةٌ 
(مفع. مِن اِسْتَحْلَبَ)	مُسْتَحْلَبٌ-مُسْتَحْلَبٌ ، ةٌ 
(مفع. مِن اِسْتَحَمَّ)	مُسْتَحَمٌّ-مُسْتَحَمٌّ ، ةٌ 
(مفع. مِن اِسْتَخْدَمَ)	مُسْتَخْدَمٌ-مُسْتَخْدَمٌ، ةٌ 
(مفع. مِن اِسْتَخْرَجَ)	مُسْتَخْرَجٌ-مُسْتَخْرَجٌ، ةٌ 
(مفع. مِن اِسْتَخْلَصَ)	مُسْتَخْلَصٌ-مُسْتَخْلَصٌ، ةٌ 
(مفع. مِن اِسْتَدَارَ)	مُسْتَدِيرٌ-مُسْتَدِيرٌ، ةٌ 
(مفع. مِن اِسْتَدَقَّ)	مُسْتَدَقٌّ-مُسْتَدَقٌّ ، ةٌ 
(مفع. مِن اِسْتَدَلَّ)	مُسْتَدَلٌّ-مُسْتَدَلٌّ، ةٌ 
(مفع. مِن اِسْتَرَقَّ)	مُسْتَرَقٌّ-مُسْتَرَقٌّ ، ةٌ 
(مفع. من اِسْتَسَاغَ)	مُسْتَسَاغٌ-مُسْتَسَاغٌ، ةٌ 
(مفع. مِن اِسْتَشَارَ)	مُسْتَشَارٌ-مُسْتَشَارٌ، ةٌ 
(مفع. مِنْ اِسْتَشْفَى)	مُسْتَشْفىً-مُسْتَشْفىً
(مفع. من اِسْتَطَاعَ)	مُسْتَطَاعٌ-مُسْتَطَاعٌ ، ةٌ 
(مفع. مِن اِسْتَعَارَ)	مُسْتَعَارٌ-مُسْتَعَارٌ، ةٌ 
(مفع. مِن اِسْتَعَانَ)	مُسْتَعَانٌ-مُسْتَعَانٌ ، ةٌ 
(مفع. مِن اِسْتَعْبَدَ)	مُسْتَعْبَدُ-مُسْتَعْبَدُ، ةٌ 
(مفع. مِن اِسْتَعْجَلَ)	مُسْتَعْجَلٌ-مُسْتَعْجَلٌ، ةٌ 
(مفع. مِن اِسْتَعْجَمَ)	مُسْتَعْجَمٌ-مُسْتَعْجَمٌ، ةٌ 
(مفع. مِن اِسْتَعْمَرَ).	مُسْتَعْمَرٌ-مُسْتَعْمَرٌ ، ةٌ 
(مفع. مِن اِسْتَعْمَلَ)	مُسْتَعْمَلٌ-مُسْتَعْمَلٌ، ةٌ 
(مفع. مِن اِسْتَغَلَّ)	مُسْتَغَلٌّ-مُسْتَغَلٌّ، ةٌ 
(مفع. من اِسْتَقْبَلَ) (الآتِي مِنَ الزَّمَانِ)	مُسْتَقْبَلٌ-مُسْتَقْبَلٌ ، ةٌ 
(مفع. من اِسْتَقَرَّ)	مُسْتَقَرٌّ-مُسْتَقَرٌّ ، ةٌ 
(مفع. مِن اِسْتَكْشَفَ)	مُسْتَكْشَفٌ-مُسْتَكْشَفٌ، ةٌ 
(مفع. مِن اِسْتَلَبَ)	مُسْتَلَبٌ-مُسْتَلَبٌ، ةٌ 
(مفع. من اِسْتَلْزَمَ)	مُسْتَلْزَمٌ-مُسْتَلْزَمٌ، ةٌ  
(مفع. مِن اِسْتَمَدَّ)	مُسْتَمَدٌّ-مُسْتَمَدٌّ، ةٌ 
(مفع. مِن اِسْتَمْطَرَ)	مُسْتَمْطَرٌ-مُسْتَمْطَرٌ، ةٌ 
(مفع. مِن اِسْتَمْلَحَ)	مُسْتَمْلَحٌ-مُسْتَمْلَحٌ، ةٌ 
(مفع. من اِسْتَنْبَتَ)	مُسْتَنْبَتٌ-مُسْتَنْبَتٌ ، ةٌ 
(مفع. مِن اِسْتَنْجَعَ)	مُسْتَنْجَعٌ-مُسْتَنْجَعٌ ، ةٌ 
(مفع. مِن اِسْتَنَدَ)	مُسْتَنَدٌ-مُسْتَنَدٌ ، ةٌ 
(مفع. مِن اِسْتَنْزَفَ)	مُسْتَنْزَفٌ-مُسْتَنْزَفٌ، ةٌ 
(مفع. من اِسْتَنْسَخَ)	مُسْتَنْسَخٌ-مُسْتَنْسَخٌ ، ةٌ 
(مفع. من اِسْتَنْشَقَ)	مُسْتَنْشَقٌ-مُسْتَنْشَقٌ ، ةٌ 
(مفع. من اِسْتَنْفَرَ)	مُسْتَنْفَرٌ-مُسْتَنْفَرٌ، ةٌ 
(مفع. مِن اِسْتَنْقَعَ)	مُسْتَنْقَعٌ-مُسْتَنْقَعٌ ، ةٌ 
(مفع. مِن اِسْتَنْكَرَ)	مُسْتَنْكَرٌ-مُسْتَنْكَرٌ، ةٌ 
(مفع. مِن اِسْتَهْجَنَ)	مُسْتَهْجَنٌ-مُسْتَهْجَنٌ، ةٌ 
(مفع. من اِسْتَهَلَّ)	مُسْتَهَلٌّ-مُسْتَهَلٌّ ، ةٌ 
(مفع. من اِسْتَهْلَكَ)	مُسْتَهْلَكٌ-مُسْتَهْلَكٌ، ةٌ 
(مفع. مِن اِسْتَوْدَعَ)	مُسْتَوْدَعٌ-مُسْتَوْدَعٌ ، ةٌ 
(مفع. مِن اِسْتَوْرَدَ)	مُسْتَوْرَدٌ-مُسْتَوْرَدٌ، ةٌ 
(مفع. مِن اِسْتَوْصَفَ)	مُسْتَوْصَفٌ-مُسْتَوْصَفٌ ، ة
(مفع. مِن اِسْتَوْلَى)	مُسْتَوْلَى-مُسْتَوْلًى
(مفع. مِن اِسْتَوَى)	مُسْتَوى-مُسْتَوى
(مفع. مِن اِشْتَبَهَ)	مُشْتَبَهٌ-مُشْتَبَهٌ
(مفع. مِن اِشْتَرَكَ)	مُشْتَرَكٌ-مُشْتَرَكٌ، ةٌ 
(مفع. مِن اِشْتَقَّ)	مُشْتَقٌّ-مُشْتَقٌّ ، ةٌ 
(مفع. مِن اِشْتَكَى)	مُشْتَكًى-مُشْتَكًى
(مفع. مِن اِشْتَهَى)	مُشْتَهًى-مُشْتَهًى
(مفع. مِن اِصْطَفَى)	مُصْطَفىً-مُصْطَفىً 
(مفع. مِنِ اِصْطَلَحَ)	مُصْطَلَحٌ-مُصْطَلَحٌ ، ةٌ 
(مفع. مِن اِضْطَرَّ)	مُضْطَرٌّ-مُضْطَرٌّ، ةٌ 
(مفع. مِن اِضْطَهَدَ)	مُضْطَهَدٌ-مُضْطَهَدٌ، ةٌ 
(مفع. مِن اِعْتَبَرَ)	مُعْتَبَرٌ-مُعْتَبَرٌ، ةٌ 
(مفع. مِن اِعْتَرَفَ)	مُعْتَرَفٌ-مُعْتَرَفٌ، ةٌ 
(مفع. مِن اِعْتَرَكَ)	مُعْتَرَكٌ-مُعْتَرَكٌ ، ةٌ 
(مفع. مِن اِعْتَصَمَ)	مُعْتَصَمٌ-مُعْتَصَمٌ ، ةٌ 
(مفع. مِن اِعْتَقَدَ)	مُعْتَقَدٌ-مُعْتَقَدٌ ، ةٌ 
(مفع. مِن اِعْتَقَلَ)	مُعْتَقَلٌ-مُعْتَقَلٌ، ةٌ 
(مفع. مِن اِعْتَلَّ)	مُعْتَلٌّ-مُعْتَلٌّ، ةٌ 
(مفع. مِن اِعْتَمَدَ)	مُعْتَمَدٌ-مُعْتَمَدٌ، ةٌ 
(مفع. مِن اِغْتَالَ)	مُغْتَالٌ-مُغْتَالٌ، ةٌ 
(مفع. مِن اِغْتَصَبَ)	مُغْتَصَبٌ-مُغْتَصَبٌ، ةٌ 
(مفع. مِن اِفْتَرَضَ)	مُفْتَرَضٌ-مُفْتَرَضٌ، ةٌ 
(مفع. مِن اِفْتَرَقَ)	مُفْتَرَقٌ-مُفْتَرَقٌ ، ةٌ 
(مفع. مِن اِفْتَعَلَ)	مُفْتَعَلٌ-مُفْتَعَلٌ، ةٌ 
(مفع. من اِقْتَبَسَ)	مُقْتَبَسٌ-مُقْتَبَسٌ، ةٌ 
(مفع. من اِقْتَحَمَ)	مُقْتَحَمٌ-مُقْتَحَمٌ، ةٌ 
(مفع. من اِقْتَرَحَ)	مُقْتَرَحٌ-مُقْتَرَحٌ ، ةٌ 
(مفع. من اِقْتَرَضَ)	مُقْتَرَضٌ-مُقْتَرَضٌ، ةٌ 
(مفع. من اِقْتَضَبَ)	مُقْتَضَبٌ-مُقْتَضَبٌ، ةٌ 
(مفع. من اِقْتَضَى)	مُقْتَضىً-مُقْتَضىً
(مفع. من اِقْتَطَعَ)	مُقْتَطَعٌ-مُقْتَطَعٌ، ةٌ 
(مفع. من اِقْتَطَفَ)	مُقْتَطَفٌ-مُقْتَطَفٌ، ةٌ 
(مفع. من اِقْتَلَعَ)	مُقْتَلَعٌ-مُقْتَلَعٌ، ةٌ 
