(مفع. مِن اِرْتَهَنَ)	مُرْتَهَنٌ-مُرْتَهَنٌ، ةٌ 
(مفع. مِنْ رَكِبَ)	مَرْكُوبٌ-مَرْكُوبٌ ، ة
(مفع. مِنْ رَكَّزَ)	مُرَكَّزٌ-مُرَكَّزٌ، ةٌ 
(مفع. مِنْ رَمَزَ)	مَرْمُوزٌ-مَرْمُوزٌ، ةٌ 
(مفع. مِنْ رَمَّشَ)	مُرَمَّشٌ-مُرَمَّشٌ ، ة
(مفع. مِنْ رَمَقَ)	مَرْمُوقٌ-مَرْمُوقٌ، ةٌ 
(مفع. مِنْ رَمَّمَ)	مُرَمَّمٌ-مُرَمَّمٌ، ةٌ 
(مفع. مِنْ رَهِبَ)	مَرْهُوبٌ-مَرْهُوبٌ ، ة
(مفع. مِنْ رَهَنَ)	مَرْهُونٌ-مَرْهُونٌ، ةٌ 
(مفع. مِنْ رَوَّحَ)	مُرَوَّحٌ-مُرَوَّحٌ ، ة
(مفع. مِنْ رَوَّعَ)	مُرَوَّعٌ-مُرَوَّعٌ، ةٌ 
(مفع. مِنْ زَخْرَفَ)	مُزَخْرَفٌ-مُزَخْرَفٌ، ةٌ 
(مفع. مِنْ زَرَعَ)	مَزْرُوعٌ-مَزْرُوعٌ، ةٌ 
(مفع. مِنْ زَرْكَشَ)	مُزَرْكَشٌ-مُزَرْكَشٌ، ةٌ 
(مفع. مِنْ زَعَمَ)	مَزْعُومٌ-مَزْعُومٌ ، ة
(مفع. مِنْ زَفَّتَ)	مُزَفَّتٌ-مُزَفَّتٌ ، ة
(مفع. مِنْ زَكَمَ)	مَزْكُومٌ-مَزْكُومٌ، ةٌ 
(مفع. مِنْ زَمَّ)	مَزْمُومٌ-مَزْمُومٌ، ةٌ 
(مفع. مِنْ زَمَّلَ)	مُزَّمَّلٌ-مُزَّمَّلٌ ، ة
(مفع. مِنْ زَوَّدَ)	مُزَوَّدٌ-مُزَوَّدٌ ، ة
(مفع. مِنْ زَوَّرَ)	مُزَوَّرٌ-مُزَوَّرٌ، ةٌ 
(مفع. مِنْ زَوَّقَ)	مُزَوَّقٌ-مُزَوَّقٌ، ةٌ 
(مفع. مِنْ زَيَّتَ)	مُزَيَّتٌ-مُزَيَّتٌ، ةٌ 
(مفع. مِنْ زَيَّفَ)	مُزَيَّفٌ-مُزَيَّفٌ، ةٌ 
(مفع. مِنْ زَيَّنَ)	مُزَيَّنٌ-مُزَيَّنٌ، ةٌ 
(مفع. مِنْ سَأَلَ)	مَسْؤُولٌ-مَسْؤُولٌ، ةٌ 
(مفع. مِن سَادَ)	مَسُودٌ-مَسُودٌ، ةٌ 
(مفع. مِنْ سَبَتَ)	مَسْبُوتٌ-مَسْبُوتٌ ، ة
(مفع. مِنْ سَبَّحَ)	مُسَبَّحٌ-مُسَبَّحٌ ، ة
(مفع. مِنْ سَبَّعَ)	مُسَبَّعٌ-مُسَبَّعٌ ، ة
(مفع. مِنْ سَبَّقَ)	مُسَبَّقٌ-مُسَبَّقٌ، ةٌ 
(مفع. من سَتَّرَ)	مُسَتَّرَةٌ-مُسَتَّرَةٌ ، ة
(مفع. مِن سَتَرَ)	مَسْتُورٌ-مَسْتُورٌ، ةٌ 
(مفع. مِن سَجَّلَ)	مُسَجَّلٌ-مُسَجَّلٌ، ةٌ 
(مفع. مِن سَجَنَ)	مَسْجُونٌ-مَسْجُونٌ ، ة
(مفع. مِن سَحَبَ)	مَسْحُوبٌ-مَسْحُوبٌ ، ة
(مفع. مِن سَحَتَ)	مَسْحُوتٌ-مَسْحُوتٌ ، ة
(مفع. مِن سَحَرَ)	مَسْحُورٌ-مَسْحُورٌ، ةٌ 
(مفع. مِن سَحَقَ)	مَسْحُوقٌ-مَسْحُوقٌ ، ة
(مفع. مِن سَخَّرَ)	مُسَخَّرٌ-مُسَخَّرٌ، ةٌ 
(مفع. مِن سَخَّنَ)	مُسَخَّنٌ-مُسَخَّنٌ ، ة
(مفع. مِن سَدَّ)	مَسْدُودٌ-مَسْدُودٌ، ةٌ 
(مفع. مِن سَدَّدَ)	مُسَدَّدٌ-مُسَدَّدٌ، ةٌ 
(مفع. مِن سَرَّ)	مَسْرُورٌ-مَسْرُورٌ، ةٌ 
(مفع. مِن سَرَّحَ)	مُسَرَّحٌ-مُسَرَّحٌ، ةٌ 
(مفع. مِن سَرَقَ)	مَسْرُوقٌ-مَسْرُوقٌ، ةٌ 
(مفع. مِن سَطَّرَ)	مُسَطَّرٌ-مُسَطَّرٌ، ةٌ 
(مفع. مِن سَطَلَ)	مَسْطُولٌ-مَسْطُولٌ، ةٌ 
(مفع. مِن سَعَرَ)	مَسْعُورٌ-مَسْعُورٌ ، ة
(مفع. مِن سَعَّرَ)	مُسَعَّرٌ-مُسَعَّرٌ، ةٌ 
(مفع. مِن سَعَى)	مَسْعىً-مَسْعىً
(مفع. مِن سَفَحَ)	مَسْفُوحٌ-مَسْفُوحٌ، ةٌ 
(مفع. مِن سَفَكَ)	مَسْفَوكٌ-مَسْفَوكٌ، ةٌ 
(مفع. من سَكَتَ)	مَسْكُوتٌ-مَسْكُوتٌ ، ة
(مفع. مِن سَكَنَ)	مَسْكُونٌ-مَسْكُونٌ، ةٌ 
(مفع. مِن سَلَبَ)	مَسْلُوبٌ-مَسْلُوبٌ، ةٌ 
(مفع. مِن سَلَّحَ)	مُسَلَّحٌ-مُسَلَّحٌ، ةٌ 
(مفع. مِن سَلْسَلَ)	مُسَلْسَلٌ-مُسَلْسَلٌ، ةٌ 
(مفع. مِن سَلَقَ)	مَسْلُوقٌ-مَسْلُوقٌ ، ة
(مفع. مِن سَلَكَ)	مَسْلُوكٌ-مَسْلُوكٌ، ةٌ 
(مفع. مِن سَلَّمَ)	مُسَلَّمٌ-مُسَلَّمٌ، ةٌ 
(مفع. مِن سَمَحَ)	مَسْمُوحٌ-مَسْمُوحٌ ، ة
(مفع. مِن سَمَّرَ)	مُسَمَّرٌ-مُسَمَّرٌ، ةٌ 
(مفع. مِن سَمِعَ)	مَسْمُوعٌ-مَسْمُوعٌ، ةٌ 
(مفع. مِن سَمَّى)	مُسَمّىً-مُسَمّىً
(مفع. مِن سَنَّ)	مَسْنُونٌ-مَسْنُونٌ ، ة
(مفع. مِن سَنَّنَ)	مُسَنَّنٌ-مُسَنَّنٌ، ةٌ 
(مفع. مِن سَهَّدَ)	مُسَهَّدٌ-مُسَهَّدٌ ، ة
(مفع. مِنْ سَوَّرَ)	مُسَوَّرٌ-مُسَوَّرٌ ، ة
(مفع. مِن سَوَّسَ)	مُسَوَّسٌ-مُسَوَّسٌ، ةٌ 
(مفع. مِن سَيَّجَ)	مُسَيَّجٌ-مُسَيَّجٌ ، ة
(مفع. مِن سَيَّرَ)	مُسَيَّرٌ-مُسَيَّرٌ، ةٌ 
(مفع. مِن شَأَمَ)	مَشْؤُومٌ-مَشْؤُومٌ، ةٌ 
(مفع. مِن شَابَ)	مَشُوبٌ-مَشُوبٌ، ةٌ 
(مفع. مِن شَاهَدَ)	مُشَاهَدٌ-مُشَاهَدٌ، ةٌ 
(مفع. مِن شَبَّ)	مَشْبُوبٌ-مَشْبُوبٌ، ةٌ 
(مفع. مِن شَبَّكَ)	مُشَبَّكٌ-مُشَبَّكٌ، ةٌ 
(مفع. مِن شَبَهَ)	مَشْبُوهٌ-مَشْبُوهٌ، ةٌ 
(مفع. مِن شَبَّهَ)	مُشَبَّهٌ-مُشَبَّهٌ ، ة
(مفع. مِن شَتَّتَ)	مُشَتَّتٌ-مُشَتَّتٌ، ةٌ 
(مفع. مِن شَجَّرَ)	مُشَجَّرٌ-مُشَجَّرٌ، ةٌ 
(مفع. مِن شَحَذَ)	مَشْحُوذٌ-مَشْحُوذٌ، ةٌ 
(مفع. مِن شَحَنَ)	مَشْحُونٌ-مَشْحُونٌ، ةٌ 
(مفع. مِن شَدَّ)	مَشْدُودٌ-مَشْدُودٌ، ةٌ 
(مفع. مِن شَدَّدَ)	مُشَدَّدٌ-مُشَدَّدٌ، ةٌ 
(مفع. مِن شَذَّبَ)	مُشَذَّبٌ-مُشَذَّبٌ، ةٌ 
(مفع. من شَرِبَ)	مَشْرُوبٌ-مَشْرُوبٌ، ةٌ 
(مفع. مِنْ شَرَطَ)	مَشْرُوطٌ-مَشْرُوطٌ، ةٌ 
(مفع. مِنْ شَرَعَ)	مَشْرُوعٌ-مَشْرُوعٌ، ةٌ 
(مفع. من شَطَبَ)	مَشْطُوبٌ-مَشْطُوبٌ، ةٌ 
(مفع. مِن شَطَّبَ)	مُشَطَّبٌ-مُشَطَّبٌ، ةٌ 
(مفع. مِن شَطَرَ)	مَشْطُورٌ-مَشْطُورٌ، ةٌ 
(مفع. مِن شَعَّثَ)	مُشَعَّثٌ-مُشَعَّثٌ، ةٌ 
(مفع. مِن شَغَفَ)	مَشْغُوفٌ-مَشْغُوفٌ، ةٌ 
(مفع. مِن شَغَلَ)	مَشْغُولٌ-مَشْغُولٌ، ةٌ 
(مفع. مِن شَقَّ)	مَشْقُوقٌ-مَشْقُوقٌ ، ة
(مفع. مِن شَقَّقَ)	مُشَقَّقٌ-مُشَقَّقٌ ، ة
(مفع. مِن شَكَّ)	مَشْكُوكٌ-مَشْكُوكٌ ، ة
(مفع. مِن شَكَّلَ)	مُشَكَّلٌ-مُشَكَّلٌ، ةٌ 
(مفع. مِن شَكَّلَ)	مَشْكُولٌ-مَشْكُولٌ، ةٌ 
(مفع. مِن شَلَّ)	مَشْلُولٌ-مَشْلُولٌ، ةٌ 
(مفع. من شَمَّ)	مَشْمُومٌ-مَشْمُومٌ ، ة
(مفع. من شَمَّسَ)	مُشَمَّسٌ-مُشَمَّسٌ، ةٌ 
(مفع. من شَمَلَ)	مَشْمُولٌ-مَشْمُولٌ، ةٌ 
(مفع. من شَنَّجَ)	مُشَنَّجٌ-مُشَنَّجٌ، ةٌ 
(مفع. من شَنَقَ)	مَشْنُوقٌ-مَشْنُوقٌ، ةٌ 
(مفع. من شَهِدَ)	مَشْهُودٌ-مَشْهُودٌ ، ة
(مفع. من شَهَرَ)	مَشْهُورٌ-مَشْهُورٌ، ةٌ 
(مفع. مِن شَوَّشَ)	مُشَوَّشٌ-مُشَوَّشٌ ، ة
(مفع. مِن شَوَّهَ)	مُشَوَّهٌ-مُشَوَّهٌ، ةٌ 
(مفع. مِنْ شَيَّدَ)	مُشَيَّدٌ-مُشَيَّدٌ، ةٌ 
(مفع. مِن شَيَّعَ)	مُشَيَّعٌ-مُشَيَّعٌ، ةٌ 
(مفع. مِن صَادَرَ)	مُصَادَرٌ-مُصَادَرٌ، ةٌ 
(مفع. مِن صَادَقَ)	مُصَادَقٌ-مُصَادَقٌ ، ة
(مفع. مِن صَبَّ)	مَصْبُوبٌ-مَصْبُوبٌ ، ة
(مفع. مِن صَحِبَ)	مَصْحُوبٌ-مَصْحُوبٌ، ةٌ 
(مفع. مِن صَحَّحَ)	مُصَحَّحٌ-مُصَحَّحٌ، ةٌ 
(مفع. مِن صَدَرَ)	مَصْدُورٌ-مَصْدُورٌ ، ة
(مفع. مِن صَدَّرَ)	مُصَدَّرٌ-مُصَدَّرٌ، ةٌ 
(مفع. مِن صَدَعَ)	مَصْدُوعٌ-مَصْدُوعٌ ، ة
(مفع. مِن صَدَّقَ)	مُصَدَّقٌ-مُصَدَّقٌ، ةٌ 
(مفع. من صَرَّحَ)	مُصَرَّحٌ-مُصَرَّحٌ ، ة
(مفع. من صَرَعَ)	مَصْرُوعٌ-مَصْرُوعٌ، ةٌ 
(مفع. مِن صَرَفَ)	مَصْرُوفٌ-مَصْرُوفٌ، ة 
(مفع. مِن صَرَّفَ)	مُصَرَّفٌ-مُصَرَّفٌ ، ة
(مفع. مِن صَعَّرَ)	مُصَعَّرٌ-مُصَعَّرٌ، ةٌ 
(مفع. مِن صَعِقَ )	مَصْعُوقٌ-مَصْعُوقٌ، ةٌ 
(مفع. مِن صَغَّرَ)	مُصَغَّرٌ-مُصَغَّرٌ، ةٌ 
(مفع. مِن صَفَّحَ)	مُصَفَّحٌ-مُصَفَّحٌ، ةٌ 
(مفع. مِن صَفَّفَ)	مُصَفَّفٌ-مُصَفَّفٌ ، ة
(مفع. مِن صَفَّى)	مُصَفًّى-مُصَفًّى
(مفع. من صَقَلَ)	مَصْقُولٌ-مَصْقُولٌ، ةٌ 
(مفع. من صَلَبَ)	مَصْلُوبٌ-مَصْلُوبٌ، ةٌ 
(مفع. من صَلَّبَ)	مُصَلَّبٌ-مُصَلَّبٌ، ةٌ 
(مفع. من صَنَعَ)	مَصْنُوعٌ-مَصْنُوعٌ ، ة
(مفع. مِنْ صَنَّعَ)	مُصَنَّعٌ-مُصَنَّعٌ، ةٌ 
(مفع. من صَنَّفَ)	مُصَنَّفٌ-مُصَنَّفٌ ، ة
(مفع. من صَوَّرَ)	مُصَوَّرٌ-مُصَوَّرٌ، ةٌ 
(مفع. من ضَاعَفَ)	مُضَاعَفٌ-مُضَاعَفٌ ، ة
(مفع. من ضَبَطَ)	مَضْبُوطٌ-مَضْبُوطٌ، ةٌ 
(مفع. مِن ضَخَّمَ)	مُضَخَّمٌ-مُضَخَّمٌ، ةٌ 
(مفع. من ضَرَّبَ)	مُضَرَّبٌ-مُضَرَّبٌ ، ة
(مفع. مِن ضَرَبَ)	مَضْرُوبٌ-مَضْرُوبٌ، ةٌ 
(مفع. من ضَرَّجَ)	مُضَرَّجٌ-مُضَرَّجٌ، ةٌ 
(مفع. مِن ضَرَسَ)	مَضْرُوسٌ-مَضْرُوسٌ ، ة
(مفع. مِن ضَرَّسَ)	مُضَرَّسٌ-مُضَرَّسٌ، ةٌ 
(مفع. مِن ضَعَّفَ)	مُضَعَّفٌ-مُضَعَّفٌ، ةٌ 
(مفع. من ضَلَّعَ)	مُضَلَّعٌ-مُضَلَّعٌ ، ة
(مفع. مِن ضَلَّلَ)	مُضَلَّلٌ-مُضَلَّلٌ، ةٌ 
(مفع. مِن ضَمَّ)	مَضْمُومٌ-مَضْمُومٌ، ةٌ 
(مفع. مِن ضَمِنَ)	مَضْمُونٌ-مَضْمُونٌ، ةٌ 
(مفع. من طَارَدَ)	مُطَارَدٌ-مُطَارَدٌ، ةٌ 
(مفع. مِن طَافَ)	مَطُوفٌ-مَطُوفٌ ، ة
(مفع. مِن طَالَبَ)	مُطَالَبٌ-مُطَالَبٌ ، ة
(مفع. مِن طَبَخَ)	مَطْبُوخٌ-مَطْبُوخٌ، ةٌ 
(مفع. من طَبَعَ)	مَطْبُوعٌ-مَطْبُوعٌ، ةٌ 
(مفع. مِن طَبَّقَ)	مُطَبَّقٌ-مُطَبَّقٌ، ةٌ 
(مفع. مِن طَحْلَبَ)	مُطَحْلَبٌ-مُطَحْلَبٌ ، ة
(مفع. من طَحَنَ)	مَطْحُونٌ-مَطْحُونٌ، ةٌ 
(مفع. من طَرَحَ)	مَطْرُوحٌ-مَطْرُوحٌ، ةٌ 
(مفع. مِن طَرَدَ)	مَطْرُودٌ-مَطْرُودٌ، ةٌ 
(مفع. مِن طَرَّزَ)	مُطَرَّزٌ-مُطَرَّزٌ ، ة
(مفع. من طَرَفَ)	مَطْرُوفٌ-مَطْرُوفٌ، ةٌ 
(مفع. مِن طَرَقَ)	مَطْرُوقٌ-مَطْرُوقٌ ، ة
(مفع. مِن طَعَّمَ)	مُطَعَّمٌ-مُطَعَّمٌ ، ة
(مفع. مِن طَعَنَ)	مَطْعُونٌ-مَطْعُونٌ، ةٌ 
(مفع. مِن طَلَبَ)	مَطْلُوبٌ-مَطْلُوبٌ، ةٌ 
(مفع. مِن طَلَّقَ)	مُطَلَّقٌ-مُطَلَّقٌ، ةٌ 
(مفع. مِن طَمَسَ)	مَطْمُوسٌ-مَطْمُوسٌ، ةٌ 
(مفع. من طَهَّرَ)	مُطَهَّرٌ-مُطَهَّرٌ، ةٌ 
(مفع. من طَهَّمَ)	مُطَهَّمٌ-مُطَهَّمٌ، ةٌ 
(مفع. من طَوَى)	مَطْوِيٌّ-مَطْوِيٌّ، ةٌ 
(مفع. مِن ظَرَفَ)	مَظْرُوفٌ-مَظْرُوفٌ ، ة
(مفع. مِن ظَفَّرَ)	مُظَفَّرٌ-مُظَفَّرٌ، ةٌ 
(مفع. من ظَلَمَ)	مَظْلُومٌ-مَظْلُومٌ، ةٌ 
(مفع. مِن عَابَ)	مَعِيبٌ-مَعِيبٌ ، ة
(مفع. مِن عَافَى)	مُعاَفىً-مُعاَفىً
(مفع. مِن عَاقَبَ)	مُعَاقَبٌ-مُعَاقَبٌ، ةٌ 
(مفع. مِن عَالَجَ)	مُعَالَجٌ-مُعَالَجٌ ، ة
(مفع. من عَبَدَ)	مَعْبُودٌ-مَعْبُودٌ، ةٌ 
(مفع. مِن عَبَّرَ)	مُعَبَّرٌ-مُعَبَّرٌ ، ة
(مفع. من عَتَّقَ)	مُعَتَّقَةٌ-مُعَتَّقَةٌ ، ة
(مفع. مِن عَجَّلَ)	مُعَجَّلٌ-مُعَجَّلٌ، ةٌ 
(مفع. من عَجَنَ)	مَعْجُونٌ-مَعْجُونٌ، ةٌ 
(مفع. من عَدَّ)	مَعْدُودٌ-مَعْدُودٌ، ةُ 
(مفع. مِن عَدَّلَ)	مُعَدَّلٌ-مُعَدَّلٌ ، ة
(مفع. مِنْ عَدَمَ)	مَعْدُومٌ-مَعْدُومٌ، ةٌ 
(مفع. مِن عَذَّبَ)	مُعَذَّبٌ-مُعَذَّبٌ، ةٌ 
(مفع. مِن عَذَرَ)	مَعْذُورٌ-مَعْذُورٌ، ةٌ 
(مفع. مِن عَرَّبَ)	مُعَرَّبٌ-مُعَرَّبٌ ، ة
(مفع. مِن عَرَضَ)	مَعْرُوضٌ-مَعْرُوضٌ، ةٌ 
(مفع. مِن عَرَّضَ)	مُعَرَّضٌ-مُعَرَّضٌ، ةٌ 
(مفع. من عَرَّفَ)	مُعَرَّفٌ-مُعَرَّفٌ ، ة
(مفع. مِن عَرَفَ)	مَعْرُوفٌ-مَعْرُوفٌ، ةٌ 
(مفع. مِن عَرْقَلَ)	مُعَرْقَلٌ-مُعَرْقَلٌ، ةٌ 
(مفع. مِن عَرَّى)	مُعَرّىً-مُعَرّىً
(مفع. مِن عَزَلَ)	مَعْزُولٌ-مَعْزُولٌ، ةٌ 
(مفع. مِن عَسْكَرَ)	مُعَسْكَرٌ-مُعَسْكَرٌ ، ة
(مفع. مِن عَسَلَ)	مَعْسُولٌ-مَعْسُولٌ، ةٌ 
(مفع. مِن عَسَّلَ)	مُعَسَّلٌ-مُعَسَّلٌ ، ة
(مفع. مِن عَشَّرَ)	مُعَشَّرٌ-مُعَشَّرٌ ، ة
(مفع. مِن عَصَبَ)	مَعْصُوبٌ-مَعْصُوبٌ، ةٌ 
(مفع. مِن عَصَّبَ)	مُعَصَّبٌ-مُعَصَّبٌ ، ة
(مفع. مِن عَصَّرَ)	مُعَصَّرٌ-مُعَصَّرٌ ، ة
(مفع. مِن عَصَمَ)	مَعْصُومٌ-مَعْصُومٌ، ةٌ 
(مفع. مِن عَطَبَ)	مَعْطُوبٌ-مَعْطُوبٌ، ةٌ 
(مفع. مِن عَطَّرَ)	مُعَطَّرٌ-مُعَطَّرٌ ، ة
(مفع. مِن عَطَّلَ)	مُعَطَّلٌ-مُعَطَّلٌ، ةٌ 
(مفع. مِن عَظَّمَ)	مُعَظَّمٌ-مُعَظَّمٌ، ةٌ 
(مفع. مِن عَفَا)	مَعْفُوٌّ-مَعْفُوٌّ، ةٌ 
(مفع. مِن عَفَّرَ)	مُعَفَّرٌ-مُعَفَّرٌ، ةٌ 
(مفع. مِن عَفَّنَ)	مُعَفَّنٌ-مُعَفَّنٌ، ةٌ 
(مفع. مِن عَقَّبَ)	مُعَقَّبٌ-مُعَقَّبٌ، ةٌ 
(مفع. مِن عَقَدَ)	مَعْقُودٌ-مَعْقُودٌ، ةٌ 
(مفع. مِن عَقَّدَ)	مُعَقَّدٌ-مُعَقَّدٌ، ةٌ 
(مفع. مِن عَقَفَ)	مَعْقُوفٌ-مَعْقُوفٌ، ةٌ 
(مفع. مِن عَقَلَ)	مَعْقُولٌ-مَعْقُولٌ ، ة
(مفع. مِن عَقَّمَ)	مُعَقَّمٌ-مُعَقَّمٌ، ةٌ 
(مفع. مِن عَكَّرَ)	مُعَكَّرٌ-مُعَكَّرٌ، ةٌ 
(مفع. مِن عَكَسَ)	مَعْكُوسٌ-مَعْكُوسٌ، ةٌ 
(مفع. مِن عَلَّ)	مَعْلُولٌ-مَعْلُولٌ، ةٌ 
(مفع. مِن عَلَفَ)	مَعْلُوفٌ-مَعْلُوفٌ، ةٌ 
(مفع. مِن عَلَّقَ)	مُعَلَّقٌ-مُعَلَّقٌ، ةٌ 
(مفع. مِن عَلِـمَ)	مَعْلُومٌ-مَعْلُومٌ، ةٌ 
(مفع. مِن عَلَّمَ)	مُعَلَّمٌ-مُعَلَّمٌ، ةٌ 
(مفع. مِن عَلَّى)	مُعَلًّى-مُعَلًّى
(مفع. مِن عَمَرَ)	مَعْمُورٌ-مَعْمُورٌ، ةٌ 
(مفع. مِن عَمَّرَ)	مُعَمَّرٌ-مُعَمَّرٌ، ةٌ 
(مفع. مِن عَمِلَ)	مَعْمُولٌ-مَعْمُولٌ، ةٌ 
(مفع. مِن عَمَّمَ)	مُعَمَّمٌ-مُعَمَّمٌ، ة 
(مفع. مِن عَمَّى)	مُعَمّىً-مُعَمّىً
(مفع. مِن عَنَّفَ)	مُعَنَّفٌ-مُعَنَّفٌ، ةٌ 
(مفع. مِن عَنَى)	مَعْنِيٌّ-مَعْنِيٌّ، ةٌ 
(مفع. مِن عَنَّى)	مُعَنّىً-مُعَنّىً 
(مفع. مِن عَهِدَ)	مَعْهُودٌ-مَعْهُودٌ ، ة 
(مفع. مِن عَوَّدَ)	مُعَوَّدٌ-مُعَوَّدٌ، ةٌ 
(مفع. مِن عَوَّلَ)	مُعَوَّلٌ-مُعَوَّلٌ 
(مفع. مِن عيَّلَ)	مُعَيَّلٌ-مُعَيَّلٌ ، ة 
(مفع. مِن عَيَّنَ)	مُعَيَّنٌ-مُعَيَّنٌ، ةٌ 
(مفع. مِن غَبَّرَ)	مُغَبَّرٌ-مُغَبَّرٌ، ةٌ 
(مفع. مِن غَبَطَ)	مَغْبُوطٌ-مَغْبُوطٌ، ةٌ 
(مفع. مِن غَبَنَ)	مَغْبُونٌ-مَغْبُونٌ، ةٌ 
(مفع. مِن غَذَّى)	مُغَذّىً-مُغَذّىً 
(مفع. مِن غَرَّ)	مَغْرُورٌ-مَغْرُورٌ، ةٌ 
(مفع. مِن غَرْبَلَ)	مُغَرْبَلٌ-مُغَرْبَلٌ، ةٌ 
(مفع. مِن غَسَلَ)	مَغْسُولٌ-مَغْسُولٌ ، ةٌ 
(مفع. مِن غَشَّ)	مَغْشُوشٌ-مَغْشُوشٌ، ةٌ 
(مفع. مِن غَشِيَ)	مَغْشِيٌّ-مَغْشِيٌّ، ةٌ 
(مفع. مِن غضِبَ)	مَغْضُوبٌ-مَغْضُوبٌ 
(مفع. مِن غَفَرَ)	مَغْفُورٌ-مَغْفُورٌ، ةٌ 
(مفع. مِن غَفَّلَ)	مُغَفَّلٌ-مُغَفَّلٌ، ةٌ 
(مفع. مِن غَلَبَ)	مَغْلُوبٌ-مَغْلُوبٌ، ةٌ 
(مفع. مِن غَلِطَ)	مَغْلُوطٌ-مَغْلُوطٌ، ةٌ 
(مفع. مِن غَلَّفَ)	مُغَلَّفٌ-مُغَلَّفٌ، ةٌ 
(مفع. مِن غَلَقَ)	مَغْلُوقٌ-مَغْلُوقٌ، ةٌ 
(مفع. مِن غَمَّ)	مَغْمُومٌ-مَغْمُومٌ، ةٌ 
(مفع. مِن غَمَدَ)	مَغْمُودٌ-مَغْمُودٌ ، ة 
(مفع. مِن غَمَّدَ)	مُغَمَّدٌ-مُغَمَّدٌ، ةٌ 
(مفع. مِن غَمَرَ)	مَغْمُورٌ-مَغْمُورٌ، ةٌ 
(مفع. مِن غَمَزَ)	مَغْمُوزٌ-مَغْمُوزٌ، ةٌ 
(مفع. مِن غَمَّضَ)	مُغَمَّضٌ-مُغَمَّضٌ، ةٌ 
(مفع. مِن غَيَّبَ)	مُغَيَّبٌ-مُغَيَّبٌ، ةٌ 
(مفع. مِن غَيَّرَ)	مُغَيَّرٌ-مُغَيَّرٌ، ةٌ 
(مفع. مِن غَيَّمَ)	مُغَيَّمٌ-مُغَيَّمٌ، ةٌ 
(مفع. مِن فَتَّتَ)	مُفَتَّتٌ-مُفَتَّتٌ، ةٌ 
(مفع. مِن فَتَحَ)	مَفْتُوحٌ-مَفْتُوحٌ، ةٌ 
(مفع. مِن فَتَلَ)	مَفْتُولٌ-مَفْتُولٌ، ةٌ 
(مفع. مِن فَتَنَ)	مَفْتُونٌ-مَفْتُونٌ، ةٌ 
(مفع. مِن فَجَعَ)	مَفْجُوعٌ-مَفْجُوعٌ، ةٌ 
(مفع. مِن فَدَى)	مَفْدِيٌّ-مَفْدِيٌّ، ةٌ 
(مفع. من فَرَشَ)	مَفْرُوشٌ-مَفْرُوشٌ، ةٌ 
(مفع. من فَرَضَ)	مَفْرُوضٌ-مَفْرُوضٌ، ةٌ 
(مفع. من فَرَغَ)	مَفْرُوغٌ-مَفْرُوغٌ، ةٌ 
(مفع. من فَرَّقَ)	مُفَرَّقٌ-مُفَرَّقٌ ، ة 
(مفع. من فَرَكَ)	مَفْرُوكٌ-مَفْرُوكٌ، ةٌ 
(مفع. من فَرَمَ)	مَفْرُومٌ-مَفْرُومٌ ، ة 
(مفع. من فَسَّرَ)	مُفَسَّرٌ-مُفَسَّرٌ، ةٌ 
(مفع. من فَصَّلَ)	مُفَصَّلٌ-مُفَصَّلٌ، ةٌ 
(مفع. من فَضَّضَ)	مُفَضَّضٌ-مُفَضَّضٌ ، ة 
